,,price_in_cents,price_in_cents,price_in_cents,travel_ts,travel_ts,travel_ts
,,min,mean,max,min,mean,max
o_city,d_city,,,,,,
46,7603,1200,3873.2,7700,0 days 01:50:00.000000000,0 days 07:00:28.800000000,1 days 01:30:00.000000000
52,367,500,500.0,500,0 days 01:00:00.000000000,0 days 01:00:00.000000000,0 days 01:00:00.000000000
52,580,1300,1466.6666666666667,1550,0 days 02:00:00.000000000,0 days 02:30:00.000000000,0 days 03:10:00.000000000
54,628,1200,2072.8571428571427,3000,0 days 01:40:00.000000000,0 days 06:32:44.571428571,0 days 13:30:00.000000000
54,726,2900,6875.714285714285,10400,0 days 05:10:00.000000000,0 days 10:31:42.857142857,0 days 20:15:00.000000000
54,845,3080,6743.478260869565,15100,0 days 06:50:00.000000000,0 days 12:14:00.000000000,0 days 17:43:00.000000000
54,1088,2180,4846.0,8890,0 days 03:50:00.000000000,0 days 08:42:00.000000000,0 days 11:10:00.000000000
54,6211,300,540.0,1500,0 days 00:50:00.000000000,0 days 00:58:36.000000000,0 days 01:33:00.000000000
54,8999,1500,1500.0,1500,0 days 01:51:00.000000000,0 days 01:51:00.000000000,0 days 01:51:00.000000000
57,28,3590,5750.0,9490,0 days 15:25:00.000000000,0 days 21:57:30.000000000,1 days 08:35:00.000000000
57,107,1100,1920.0,3120,0 days 01:40:00.000000000,0 days 02:59:48.000000000,0 days 07:10:00.000000000
57,148,6290,7560.0,9700,0 days 12:00:00.000000000,1 days 01:37:30.000000000,1 days 17:05:00.000000000
57,317,1000,2257.1428571428573,3970,0 days 02:00:00.000000000,0 days 04:07:15.428571428,1 days 02:40:00.000000000
57,453,3200,10619.047619047618,15920,0 days 05:33:00.000000000,0 days 08:44:38.095238095,0 days 16:30:00.000000000
57,485,1000,1795.6,3690,0 days 01:50:00.000000000,0 days 10:53:48.000000000,6 days 22:30:00.000000000
57,504,500,984.5070422535211,2300,0 days 01:00:00.000000000,0 days 02:50:24.507042253,1 days 04:10:00.000000000
57,539,500,1260.0,2820,0 days 01:00:00.000000000,0 days 05:43:25.714285714,0 days 19:50:00.000000000
57,542,600,883.3333333333334,2400,0 days 01:10:00.000000000,0 days 01:52:46.666666666,0 days 05:25:00.000000000
57,628,3390,8304.675324675325,17320,0 days 03:45:00.000000000,0 days 08:39:38.961038961,1 days 09:25:00.000000000
57,732,1200,3457.6,4990,0 days 03:00:00.000000000,0 days 05:28:50.400000000,0 days 20:50:00.000000000
57,840,3000,3408.3333333333335,4090,0 days 10:40:00.000000000,0 days 19:25:00.000000000,1 days 03:30:00.000000000
57,1061,3500,9470.222222222223,21420,0 days 06:20:00.000000000,0 days 14:35:45.333333333,1 days 09:15:00.000000000
57,2181,5350,5383.333333333333,5450,0 days 07:20:00.000000000,0 days 07:36:40.000000000,0 days 08:10:00.000000000
57,2621,8700,8700.0,8700,0 days 14:55:00.000000000,0 days 14:55:00.000000000,0 days 14:55:00.000000000
59,546,2480,2540.0,2600,0 days 21:20:00.000000000,1 days 02:25:00.000000000,1 days 07:30:00.000000000
76,100,7600,7600.0,7600,0 days 12:30:00.000000000,0 days 12:30:00.000000000,0 days 12:30:00.000000000
76,277,4800,6898.0,9350,0 days 14:00:00.000000000,0 days 19:43:00.000000000,1 days 00:35:00.000000000
76,504,2200,3349.285714285714,4580,0 days 05:30:00.000000000,0 days 07:37:51.428571428,0 days 11:15:00.000000000
76,639,850,1856.6666666666667,4490,0 days 02:20:00.000000000,0 days 04:08:20.000000000,0 days 12:20:00.000000000
76,7523,5600,6475.0,7350,0 days 10:40:00.000000000,0 days 11:00:00.000000000,0 days 11:20:00.000000000
85,628,2200,9671.666666666666,14290,0 days 04:20:00.000000000,0 days 10:33:38.333333333,1 days 09:20:00.000000000
85,635,600,1037.2413793103449,3810,0 days 01:00:00.000000000,0 days 01:51:33.103448275,0 days 13:19:00.000000000
85,685,3600,14143.846153846154,27000,0 days 07:26:00.000000000,0 days 14:46:13.846153846,1 days 03:33:00.000000000
89,1,3190,3190.0,3190,0 days 12:55:00.000000000,0 days 12:55:00.000000000,0 days 12:55:00.000000000
89,485,1700,2532.5,3100,0 days 03:10:00.000000000,0 days 05:10:25.000000000,0 days 15:40:00.000000000
89,809,500,1050.0,1600,0 days 01:50:00.000000000,0 days 03:01:40.000000000,0 days 06:10:00.000000000
89,845,6150,6150.0,6150,0 days 09:10:00.000000000,0 days 09:10:00.000000000,0 days 09:10:00.000000000
89,5121,1400,1895.0,2690,0 days 04:05:00.000000000,0 days 13:15:00.000000000,1 days 01:55:00.000000000
94,628,1550,1683.3333333333333,1800,0 days 02:30:00.000000000,0 days 03:00:00.000000000,0 days 03:30:00.000000000
95,874,5900,5900.0,5900,0 days 11:10:00.000000000,0 days 11:10:00.000000000,0 days 11:10:00.000000000
99,23,3400,3893.846153846154,4700,0 days 07:30:00.000000000,0 days 10:30:27.692307692,0 days 14:16:00.000000000
99,485,6090,6190.0,6290,0 days 20:00:00.000000000,0 days 20:00:00.000000000,0 days 20:00:00.000000000
99,628,3800,6114.285714285715,8350,0 days 17:00:00.000000000,0 days 23:32:51.428571428,1 days 05:35:00.000000000
100,23,7200,7200.0,7200,0 days 10:40:00.000000000,0 days 10:40:00.000000000,0 days 10:40:00.000000000
102,23,3800,3896.6666666666665,4090,0 days 15:30:00.000000000,0 days 16:35:00.000000000,0 days 18:15:00.000000000
102,57,1800,2763.3333333333335,3390,0 days 15:55:00.000000000,0 days 18:28:20.000000000,0 days 21:30:00.000000000
102,173,2600,3607.3529411764707,5180,0 days 14:55:00.000000000,0 days 19:28:40.588235294,1 days 04:10:00.000000000
102,227,600,650.0,700,0 days 01:00:00.000000000,0 days 01:10:00.000000000,0 days 01:20:00.000000000
102,424,4150,8590.625,15800,0 days 06:44:00.000000000,0 days 21:06:11.250000000,1 days 16:43:00.000000000
102,485,1400,1933.3333333333333,2400,0 days 02:20:00.000000000,0 days 02:50:37.500000000,0 days 07:05:00.000000000
102,580,2390,5751.0526315789475,15520,0 days 06:50:00.000000000,0 days 15:34:53.684210526,1 days 04:50:00.000000000
102,809,1000,1905.3846153846155,5100,0 days 02:40:00.000000000,0 days 07:41:02.307692307,0 days 23:00:00.000000000
102,843,2390,5585.0,10620,0 days 06:48:00.000000000,0 days 11:12:37.500000000,0 days 18:50:00.000000000
102,1088,1200,2276.3636363636365,5140,0 days 02:20:00.000000000,0 days 07:54:43.636363636,0 days 23:40:00.000000000
105,46,300,1927.6923076923076,2980,0 days 00:40:00.000000000,0 days 11:46:09.230769230,0 days 22:50:00.000000000
105,446,2490,2490.0,2490,0 days 08:05:00.000000000,0 days 14:03:20.000000000,1 days 00:05:00.000000000
107,542,500,587.5,600,0 days 01:00:00.000000000,0 days 01:11:15.000000000,0 days 01:40:00.000000000
107,714,4490,9134.0,13350,0 days 06:32:00.000000000,0 days 10:04:36.000000000,0 days 23:35:00.000000000
107,809,4300,5225.0,6150,0 days 09:00:00.000000000,0 days 17:07:30.000000000,1 days 01:15:00.000000000
107,845,1300,1357.142857142857,1450,0 days 01:50:00.000000000,0 days 04:02:08.571428571,0 days 16:15:00.000000000
107,876,3690,3885.0,4080,1 days 00:05:00.000000000,1 days 03:20:00.000000000,1 days 06:35:00.000000000
109,126,1200,1770.7142857142858,3280,0 days 01:40:00.000000000,0 days 04:31:25.714285714,0 days 09:50:00.000000000
109,485,2400,6014.6875,21150,0 days 07:31:00.000000000,0 days 13:03:39.375000000,1 days 04:20:00.000000000
109,628,1990,3222.5,6600,0 days 08:00:00.000000000,0 days 11:53:07.500000000,0 days 18:00:00.000000000
109,777,4050,7227.5,10070,0 days 06:00:00.000000000,0 days 13:52:52.500000000,1 days 02:42:00.000000000
109,3738,500,500.0,500,0 days 00:50:00.000000000,0 days 01:03:20.000000000,0 days 01:20:00.000000000
112,336,1300,1464.4444444444443,1840,0 days 03:00:00.000000000,0 days 05:25:33.333333333,0 days 06:55:00.000000000
